,Cohort,Customers,0-6 Days,7-13 Days,14-20 Days,15-27 Days,28-34 Days,35-41 Days,42-48 Days,49-55 Days,56-62 Days,63-69 Days,70-76 Days,77-83 Days,85-90 Days,91-97 Days,98-104 Days,105-111 Days,112-118 Days,119-125 Days,126-132 Days,133-139 Days,140-146 Days,147-153 Days,154-160 Days,161-167 Days,168-174 Days,175-181 Days,182-188 Days
0,07/02 - 07/08,983.0,"14% orderers(136), 14% first-time(136)", , , , , , , , , , , , , , , , , , , , , , , , , , 
1,06/25 - 07/01,781.0,"16% orderers(123), 16% first-time(123)","3% orderers(23), 2% first-time(12)", , , , , , , , , , , , , , , , , , , , , , , , , 
2,06/18 - 06/24,946.0,"18% orderers(168), 18% first-time(168)","5% orderers(44), 2% first-time(16)","2% orderers(15), 0% first-time(3)", , , , , , , , , , , , , , , , , , , , , , , , 
3,06/11 - 06/17,1066.0,"17% orderers(177), 17% first-time(177)","5% orderers(51), 2% first-time(18)","4% orderers(46), 1% first-time(11)","2% orderers(18), 0% first-time(3)", , , , , , , , , , , , , , , , , , , , , , , 
4,06/04 - 06/10,858.0,"14% orderers(121), 14% first-time(121)","5% orderers(39), 2% first-time(19)","4% orderers(37), 1% first-time(8)","3% orderers(29), 1% first-time(9)","2% orderers(20), 1% first-time(7)", , , , , , , , , , , , , , , , , , , , , , 
5,05/28 - 06/03,972.0,"15% orderers(148), 15% first-time(148)","5% orderers(48), 1% first-time(12)","5% orderers(48), 2% first-time(18)","4% orderers(41), 1% first-time(11)","4% orderers(39), 1% first-time(5)","1% orderers(11), 0% first-time(0)", , , , , , , , , , , , , , , , , , , , , 
6,05/21 - 05/27,917.0,"15% orderers(140), 15% first-time(140)","6% orderers(52), 2% first-time(22)","5% orderers(47), 1% first-time(11)","4% orderers(36), 1% first-time(9)","5% orderers(48), 1% first-time(6)","4% orderers(38), 0% first-time(0)","2% orderers(22), 0% first-time(1)", , , , , , , , , , , , , , , , , , , , 
7,05/14 - 05/20,630.0,"16% orderers(99), 16% first-time(100)","4% orderers(27), 2% first-time(12)","5% orderers(33), 1% first-time(9)","4% orderers(25), 1% first-time(6)","4% orderers(28), 1% first-time(8)","5% orderers(31), 0% first-time(3)","3% orderers(21), 1% first-time(4)","2% orderers(15), 0% first-time(0)", , , , , , , , , , , , , , , , , , , 
8,05/07 - 05/13,721.0,"14% orderers(102), 14% first-time(102)","5% orderers(39), 2% first-time(17)","4% orderers(27), 1% first-time(4)","5% orderers(35), 1% first-time(10)","4% orderers(30), 0% first-time(3)","4% orderers(31), 0% first-time(3)","5% orderers(35), 1% first-time(7)","3% orderers(25), 0% first-time(0)","1% orderers(7), 0% first-time(0)", , , , , , , , , , , , , , , , , , 
9,04/30 - 05/06,706.0,"16% orderers(115), 16% first-time(115)","5% orderers(35), 2% first-time(13)","5% orderers(32), 1% first-time(6)","5% orderers(33), 1% first-time(8)","4% orderers(29), 0% first-time(3)","4% orderers(25), 1% first-time(8)","4% orderers(29), 1% first-time(4)","4% orderers(28), 0% first-time(0)","4% orderers(26), 0% first-time(0)","1% orderers(10), 0% first-time(0)", , , , , , , , , , , , , , , , , 
10,04/23 - 04/29,969.0,"15% orderers(150), 15% first-time(150)","5% orderers(47), 1% first-time(11)","4% orderers(34), 1% first-time(8)","3% orderers(30), 1% first-time(9)","4% orderers(35), 1% first-time(5)","4% orderers(35), 1% first-time(7)","3% orderers(33), 0% first-time(4)","3% orderers(26), 0% first-time(2)","3% orderers(32), 0% first-time(0)","4% orderers(34), 0% first-time(0)","2% orderers(18), 0% first-time(0)", , , , , , , , , , , , , , , , 
11,04/16 - 04/22,896.0,"9% orderers(78), 9% first-time(78)","4% orderers(32), 2% first-time(14)","3% orderers(28), 0% first-time(3)","3% orderers(26), 1% first-time(7)","3% orderers(27), 0% first-time(4)","2% orderers(17), 0% first-time(4)","3% orderers(23), 0% first-time(4)","1% orderers(13), 0% first-time(4)","3% orderers(28), 0% first-time(4)","3% orderers(27), 0% first-time(1)","2% orderers(22), 0% first-time(4)","1% orderers(13), 0% first-time(0)", , , , , , , , , , , , , , , 
12,04/09 - 04/15,877.0,"10% orderers(87), 10% first-time(87)","4% orderers(38), 2% first-time(16)","4% orderers(34), 1% first-time(7)","3% orderers(26), 1% first-time(8)","3% orderers(28), 0% first-time(2)","3% orderers(24), 1% first-time(8)","3% orderers(24), 0% first-time(2)","2% orderers(16), 0% first-time(4)","3% orderers(26), 1% first-time(6)","3% orderers(25), 0% first-time(4)","3% orderers(27), 1% first-time(5)","3% orderers(22), 0% first-time(0)","1% orderers(10), 0% first-time(0)", , , , , , , , , , , , , , 
13,04/02 - 04/08,1094.0,"9% orderers(93), 9% first-time(93)","3% orderers(29), 1% first-time(11)","3% orderers(33), 1% first-time(8)","3% orderers(30), 1% first-time(9)","3% orderers(32), 0% first-time(4)","2% orderers(25), 0% first-time(1)","2% orderers(22), 0% first-time(2)","2% orderers(26), 0% first-time(5)","2% orderers(24), 0% first-time(5)","3% orderers(28), 0% first-time(3)","3% orderers(30), 0% first-time(2)","1% orderers(16), 0% first-time(0)","2% orderers(20), 0% first-time(0)","1% orderers(13), 0% first-time(2)", , , , , , , , , , , , , 
14,03/26 - 04/01,1008.0,"7% orderers(74), 7% first-time(74)","2% orderers(25), 1% first-time(12)","4% orderers(39), 1% first-time(14)","3% orderers(27), 1% first-time(6)","3% orderers(30), 1% first-time(9)","2% orderers(23), 0% first-time(2)","2% orderers(25), 0% first-time(5)","3% orderers(29), 0% first-time(1)","2% orderers(19), 0% first-time(1)","2% orderers(21), 0% first-time(4)","3% orderers(32), 0% first-time(3)","3% orderers(33), 0% first-time(0)","2% orderers(23), 0% first-time(0)","3% orderers(30), 0% first-time(2)","1% orderers(10), 0% first-time(0)", , , , , , , , , , , , 
15,03/19 - 03/25,987.0,"9% orderers(85), 9% first-time(85)","3% orderers(31), 2% first-time(15)","2% orderers(24), 1% first-time(5)","2% orderers(24), 1% first-time(5)","3% orderers(27), 1% first-time(7)","3% orderers(25), 0% first-time(1)","3% orderers(25), 0% first-time(3)","2% orderers(20), 1% first-time(7)","2% orderers(21), 0% first-time(3)","3% orderers(25), 0% first-time(1)","2% orderers(20), 0% first-time(2)","2% orderers(22), 0% first-time(1)","3% orderers(30), 0% first-time(2)","2% orderers(23), 0% first-time(1)","2% orderers(17), 0% first-time(0)","1% orderers(12), 0% first-time(0)", , , , , , , , , , , 
16,03/12 - 03/18,1182.0,"7% orderers(81), 7% first-time(81)","3% orderers(41), 2% first-time(20)","3% orderers(31), 1% first-time(8)","3% orderers(34), 1% first-time(9)","3% orderers(30), 1% first-time(6)","2% orderers(29), 0% first-time(3)","3% orderers(30), 1% first-time(6)","2% orderers(28), 0% first-time(5)","2% orderers(19), 0% first-time(2)","2% orderers(25), 0% first-time(1)","2% orderers(27), 0% first-time(4)","1% orderers(17), 0% first-time(2)","2% orderers(22), 0% first-time(1)","2% orderers(25), 1% first-time(6)","2% orderers(21), 0% first-time(2)","2% orderers(24), 0% first-time(0)","1% orderers(8), 0% first-time(0)", , , , , , , , , , 
17,03/05 - 03/11,1445.0,"11% orderers(163), 11% first-time(163)","4% orderers(64), 1% first-time(20)","3% orderers(50), 1% first-time(19)","3% orderers(39), 0% first-time(7)","3% orderers(46), 1% first-time(8)","2% orderers(33), 0% first-time(3)","3% orderers(37), 0% first-time(5)","3% orderers(41), 0% first-time(5)","3% orderers(47), 0% first-time(2)","2% orderers(36), 0% first-time(3)","2% orderers(34), 0% first-time(4)","2% orderers(32), 0% first-time(6)","3% orderers(39), 0% first-time(2)","2% orderers(32), 0% first-time(1)","3% orderers(38), 0% first-time(2)","2% orderers(34), 0% first-time(0)","2% orderers(36), 0% first-time(0)","1% orderers(9), 0% first-time(0)", , , , , , , , , 
18,02/26 - 03/04,2129.0,"10% orderers(219), 10% first-time(219)","4% orderers(87), 1% first-time(31)","3% orderers(72), 1% first-time(22)","3% orderers(57), 1% first-time(13)","3% orderers(71), 1% first-time(15)","2% orderers(53), 0% first-time(7)","3% orderers(60), 0% first-time(9)","3% orderers(56), 0% first-time(4)","3% orderers(58), 0% first-time(4)","3% orderers(61), 0% first-time(3)","2% orderers(47), 0% first-time(2)","3% orderers(54), 0% first-time(1)","2% orderers(38), 0% first-time(1)","2% orderers(52), 0% first-time(2)","2% orderers(37), 0% first-time(3)","2% orderers(48), 0% first-time(0)","2% orderers(50), 0% first-time(1)","2% orderers(51), 0% first-time(0)","1% orderers(13), 0% first-time(0)", , , , , , , , 
19,02/19 - 02/25,417.0,"20% orderers(85), 20% first-time(85)","7% orderers(28), 3% first-time(11)","7% orderers(29), 1% first-time(5)","6% orderers(24), 0% first-time(2)","6% orderers(24), 1% first-time(5)","6% orderers(25), 0% first-time(2)","5% orderers(20), 0% first-time(1)","5% orderers(21), 1% first-time(5)","4% orderers(17), 1% first-time(4)","5% orderers(22), 3% first-time(12)","3% orderers(14), 1% first-time(6)","6% orderers(24), 0% first-time(2)","5% orderers(20), 0% first-time(2)","4% orderers(17), 0% first-time(1)","5% orderers(20), 1% first-time(5)","4% orderers(18), 0% first-time(1)","5% orderers(20), 2% first-time(10)","5% orderers(21), 0% first-time(0)","4% orderers(16), 0% first-time(2)","2% orderers(9), 0% first-time(0)", , , , , , , 
20,02/12 - 02/18,451.0,"15% orderers(67), 15% first-time(67)","6% orderers(28), 2% first-time(11)","6% orderers(27), 3% first-time(12)","6% orderers(27), 1% first-time(5)","4% orderers(19), 1% first-time(4)","2% orderers(10), 2% first-time(7)","4% orderers(17), 1% first-time(3)","4% orderers(18), 0% first-time(2)","3% orderers(12), 2% first-time(8)","4% orderers(18), 0% first-time(1)","4% orderers(18), 0% first-time(2)","3% orderers(12), 1% first-time(3)","4% orderers(16), 0% first-time(2)","3% orderers(12), 0% first-time(2)","3% orderers(13), 1% first-time(3)","4% orderers(20), 0% first-time(2)","4% orderers(17), 0% first-time(1)","2% orderers(10), 0% first-time(0)","4% orderers(18), 0% first-time(2)","4% orderers(18), 0% first-time(1)","1% orderers(4), 0% first-time(0)", , , , , , 
21,02/05 - 02/11,475.0,"18% orderers(85), 18% first-time(85)","7% orderers(31), 3% first-time(14)","6% orderers(28), 1% first-time(6)","5% orderers(23), 1% first-time(4)","4% orderers(21), 0% first-time(2)","5% orderers(24), 1% first-time(5)","4% orderers(18), 1% first-time(3)","4% orderers(18), 1% first-time(3)","4% orderers(21), 0% first-time(1)","4% orderers(20), 0% first-time(1)","4% orderers(19), 0% first-time(2)","4% orderers(20), 1% first-time(5)","5% orderers(23), 1% first-time(3)","4% orderers(18), 0% first-time(1)","5% orderers(23), 0% first-time(1)","3% orderers(15), 1% first-time(4)","4% orderers(17), 1% first-time(3)","3% orderers(16), 1% first-time(5)","4% orderers(20), 0% first-time(2)","3% orderers(15), 0% first-time(2)","3% orderers(16), 0% first-time(0)","2% orderers(10), 0% first-time(0)", , , , , 
22,01/29 - 02/04,549.0,"21% orderers(116), 21% first-time(116)","7% orderers(41), 3% first-time(15)","7% orderers(36), 2% first-time(13)","5% orderers(30), 1% first-time(8)","6% orderers(35), 1% first-time(8)","5% orderers(27), 1% first-time(3)","7% orderers(37), 1% first-time(7)","5% orderers(27), 0% first-time(1)","5% orderers(27), 0% first-time(2)","5% orderers(25), 0% first-time(2)","5% orderers(28), 0% first-time(1)","5% orderers(28), 0% first-time(2)","6% orderers(32), 0% first-time(2)","5% orderers(26), 0% first-time(2)","4% orderers(23), 0% first-time(1)","5% orderers(26), 0% first-time(1)","6% orderers(31), 0% first-time(1)","4% orderers(24), 0% first-time(1)","5% orderers(25), 0% first-time(2)","5% orderers(26), 0% first-time(1)","5% orderers(28), 0% first-time(0)","5% orderers(25), 0% first-time(1)","3% orderers(14), 0% first-time(0)", , , , 
23,01/22 - 01/28,1349.0,"17% orderers(236), 17% first-time(236)","8% orderers(104), 4% first-time(59)","5% orderers(72), 2% first-time(24)","5% orderers(66), 1% first-time(20)","5% orderers(73), 1% first-time(18)","6% orderers(79), 1% first-time(9)","5% orderers(64), 1% first-time(15)","5% orderers(69), 0% first-time(4)","4% orderers(60), 1% first-time(9)","4% orderers(55), 0% first-time(1)","4% orderers(59), 0% first-time(4)","4% orderers(59), 0% first-time(2)","4% orderers(55), 0% first-time(6)","4% orderers(60), 1% first-time(13)","3% orderers(43), 1% first-time(8)","3% orderers(45), 0% first-time(3)","4% orderers(57), 0% first-time(3)","3% orderers(41), 0% first-time(1)","4% orderers(48), 0% first-time(3)","4% orderers(53), 0% first-time(5)","4% orderers(48), 0% first-time(1)","2% orderers(33), 0% first-time(1)","3% orderers(40), 0% first-time(0)","1% orderers(17), 0% first-time(0)", , , 
24,01/15 - 01/21,790.0,"17% orderers(137), 17% first-time(137)","7% orderers(59), 4% first-time(28)","5% orderers(43), 2% first-time(15)","3% orderers(26), 1% first-time(6)","5% orderers(38), 1% first-time(9)","5% orderers(39), 3% first-time(22)","6% orderers(48), 1% first-time(7)","5% orderers(38), 1% first-time(11)","6% orderers(45), 1% first-time(8)","4% orderers(30), 1% first-time(5)","4% orderers(35), 1% first-time(5)","4% orderers(31), 1% first-time(11)","5% orderers(37), 1% first-time(9)","4% orderers(35), 0% first-time(3)","5% orderers(36), 0% first-time(1)","5% orderers(39), 0% first-time(3)","3% orderers(27), 1% first-time(8)","5% orderers(37), 0% first-time(3)","4% orderers(33), 1% first-time(4)","5% orderers(36), 0% first-time(1)","4% orderers(33), 0% first-time(3)","5% orderers(43), 0% first-time(1)","3% orderers(25), 0% first-time(3)","4% orderers(33), 0% first-time(1)","2% orderers(18), 0% first-time(1)", , 
25,01/08 - 01/14,2210.0,"10% orderers(224), 10% first-time(224)","7% orderers(149), 4% first-time(94)","5% orderers(102), 2% first-time(39)","5% orderers(105), 1% first-time(24)","4% orderers(91), 1% first-time(23)","4% orderers(88), 0% first-time(8)","4% orderers(91), 1% first-time(20)","4% orderers(96), 0% first-time(4)","4% orderers(92), 1% first-time(21)","4% orderers(83), 0% first-time(1)","3% orderers(56), 0% first-time(3)","3% orderers(68), 0% first-time(7)","3% orderers(70), 0% first-time(4)","3% orderers(65), 0% first-time(7)","3% orderers(75), 0% first-time(7)","4% orderers(80), 0% first-time(1)","3% orderers(63), 0% first-time(4)","3% orderers(68), 0% first-time(1)","3% orderers(60), 0% first-time(5)","3% orderers(64), 0% first-time(2)","2% orderers(50), 0% first-time(2)","2% orderers(53), 0% first-time(5)","3% orderers(68), 0% first-time(2)","3% orderers(65), 0% first-time(1)","2% orderers(47), 0% first-time(3)","1% orderers(26), 0% first-time(0)", 
26,01/01 - 01/07,308.0,"12% orderers(36), 12% first-time(36)","5% orderers(14), 2% first-time(6)","5% orderers(14), 1% first-time(4)","4% orderers(11), 0% first-time(1)","5% orderers(16), 1% first-time(3)","2% orderers(6), 5% first-time(15)","2% orderers(7), 0% first-time(1)","3% orderers(8), 6% first-time(17)","2% orderers(7), 0% first-time(1)","1% orderers(4), 5% first-time(15)","2% orderers(6), 1% first-time(3)","2% orderers(7), 1% first-time(2)","2% orderers(6), 2% first-time(5)","2% orderers(5), 0% first-time(1)","2% orderers(6), 0% first-time(1)","3% orderers(8), 5% first-time(14)","1% orderers(4), 2% first-time(5)","2% orderers(7), 2% first-time(7)","3% orderers(8), 0% first-time(1)","1% orderers(4), 0% first-time(1)","1% orderers(4), 1% first-time(4)","2% orderers(7), 2% first-time(7)","1% orderers(3), 1% first-time(4)","2% orderers(6), 2% first-time(5)","3% orderers(8), 0% first-time(1)","2% orderers(6), 2% first-time(5)","1% orderers(2), 0% first-time(0)"
